Job Title,Experience,location,Work Type,Company Size,Qualifications,salary_avg,exp_category
finance manager,5 to 8 Years,Riyadh,Intern,Large,M.Tech,70000.0,Mid (3-5 yrs)
substance abuse counselor,3 to 12 Years,San Jose,Temporary,Enterprise,PhD,78000.0,Mid (3-5 yrs)
dental hygienist,4 to 15 Years,Damascus,Contract,Large,BBA,89000.0,Mid (3-5 yrs)
sales manager,5 to 9 Years,Nuuk,Part-Time,Medium,B.Tech,80000.0,Mid (3-5 yrs)
event manager,4 to 13 Years,San Juan,Contract,Enterprise,BCA,83500.0,Mid (3-5 yrs)
nurse manager,4 to 13 Years,Nouakchott,Full-Time,Medium,PhD,90500.0,Mid (3-5 yrs)
chemical analyst,0 to 10 Years,ReykjavÃ­k,Intern,Medium,B.Com,79500.0,Fresher (0 yrs)
customer service manager,4 to 12 Years,Santiago,Contract,Medium,MCA,68500.0,Mid (3-5 yrs)
legal assistant,4 to 14 Years,Kampala,Full-Time,Enterprise,PhD,73500.0,Mid (3-5 yrs)
sales consultant,5 to 9 Years,Rabat,Contract,Medium,MBA,80000.0,Mid (3-5 yrs)
tax consultant,2 to 13 Years,Kingstown,Part-Time,Enterprise,B.Tech,82500.0,Junior (1-2 yrs)
java developer,1 to 9 Years,Dili,Intern,Medium,B.Tech,86000.0,Junior (1-2 yrs)
software engineer,4 to 14 Years,Andorra la Vella,Contract,Enterprise,PhD,78500.0,Mid (3-5 yrs)
supply chain manager,3 to 13 Years,Madrid,Temporary,Medium,M.Com,92500.0,Mid (3-5 yrs)
web developer,3 to 9 Years,Ulaanbaatar,Part-Time,Small,B.Tech,81500.0,Mid (3-5 yrs)
investment analyst,4 to 15 Years,Luanda,Full-Time,Enterprise,BCA,87500.0,Mid (3-5 yrs)
network engineer,2 to 8 Years,Nur-Sultan,Contract,Medium,M.Com,75500.0,Junior (1-2 yrs)
psychologist,5 to 8 Years,Tunis,Temporary,Medium,M.Tech,87000.0,Mid (3-5 yrs)
marketing director,3 to 14 Years,Prague,Part-Time,Medium,PhD,82500.0,Mid (3-5 yrs)
civil engineer,3 to 11 Years,Brasilia,Full-Time,Large,MBA,69500.0,Mid (3-5 yrs)
